date,provider,service,region,cost,currency,is_anomaly,anomaly_type,anomaly_severity,day_of_week,day_of_month,month,quarter,is_weekend,week_of_year,rolling_mean_7d,rolling_std_7d,rolling_mean_14d,rolling_std_14d,rolling_mean_30d,rolling_std_30d,deviation_7d,deviation_30d,cost_lag_1d,cost_lag_7d,growth_1d,growth_7d,month_key,cumulative_monthly_cost,cost_percentile,provider_daily_total,service_share
2023-01-01,AWS,CloudFront,us-east-1,63.6535,USD,False,,,6,1,1,1,1,52,63.6535,0.0,63.6535,0.0,63.6535,0.0,0.0,0.0,,,,,2023-01,63.6535,0.0018281535648994515,1677.7578,0.03793962394331414
2023-01-02,AWS,CloudFront,eu-west-1,95.6758,USD,False,,,0,2,1,1,0,1,79.66465,22.64318547918998,79.66465,22.64318547918998,79.66465,22.64318547918998,0.7071067811553193,0.7071067811553193,63.6535,,0.5030721012905327,,2023-01,159.3293,0.24314442413162707,2418.0516,0.039567311135941204
2023-01-03,AWS,CloudFront,us-west-2,87.2364,USD,False,,,1,3,1,1,0,1,82.18856666666666,16.597210318102658,82.18856666666666,16.597210318102658,82.18856666666666,16.597210318102658,0.304137456613628,0.304137456613628,95.6758,,-0.08820830345721471,,2023-01,246.5657,0.15722120658135283,2452.4758,0.03557074854722906
2023-01-04,AWS,CloudFront,ap-southeast-1,112.4081,USD,False,,,2,4,1,1,0,1,89.74345,20.29655083053933,89.74345,20.29655083053933,89.74345,20.29655083053933,1.1166749556668922,1.1166749556668922,87.2364,,0.2885458363677485,,2023-01,358.9738,0.3802559414990859,2820.6344000000004,0.03985206306778367
2023-01-05,AWS,CloudFront,us-west-2,123.3332,USD,False,,,3,5,1,1,0,1,96.4614,23.121780699699585,96.4614,23.121780699699585,96.4614,23.121780699699585,1.1621855750576753,1.1621855750576753,112.4081,,0.09719139456945548,,2023-01,482.307,0.5557586837294333,2798.2969000000003,0.044074379669989956
2023-01-06,AWS,CloudFront,ap-southeast-1,106.3474,USD,False,,,4,6,1,1,0,1,98.10906666666666,21.070885763219987,98.10906666666666,21.070885763219987,98.10906666666666,21.070885763219987,0.3909818232379516,0.3909818232379516,123.3332,,-0.1377228515911554,,2023-01,588.6544,0.3235831809872029,2829.0533,0.03759116167940788
2023-01-07,AWS,CloudFront,eu-west-1,74.6825,USD,False,,,5,7,1,1,1,1,94.76241428571429,21.175121349154736,94.76241428571429,21.175121349154736,94.76241428571429,21.175121349154736,-0.9482785932448764,-0.9482785932448764,106.3474,,-0.2977496393865975,,2023-01,663.3369,0.027422303473491772,1909.8824,0.03910319295049837
2023-01-08,AWS,CloudFront,eu-west-1,71.5418,USD,False,,,6,8,1,1,1,1,95.88931428571428,19.377210150967606,91.8598375,21.253947185468366,91.8598375,21.253947185468366,-1.256502566404895,-0.9559653706552812,74.6825,63.6535,-0.04205402872102507,0.12392562859663755,2023-01,734.8787,0.010968921389396709,1834.6867,0.03899401461838743
2023-01-09,AWS,CloudFront,us-east-1,107.9669,USD,False,,,0,9,1,1,0,2,97.64518571428572,19.90434850490621,93.64951111111111,20.593454586375525,93.64951111111111,20.593454586375525,0.5185657939345023,0.6952397825309952,71.5418,95.6758,0.5091443044414714,0.128466132500293,2023-01,842.8456,0.340036563071298,2680.2765999999997,0.040281999253345614
2023-01-10,AWS,CloudFront,us-east-1,107.948,USD,False,,,1,10,1,1,0,2,100.60398571428571,19.636794614993274,95.07936,19.935242607737017,95.07936,19.935242607737017,0.3739925191116943,0.6455221164130734,107.9669,87.2364,-0.0001750536507006044,0.23741924242360493,2023-01,950.7936,0.3382084095063985,2623.0875,0.04115303054128344
2023-01-11,AWS,CloudFront,us-east-1,106.4471,USD,False,,,2,11,1,1,0,2,99.7524142857143,19.163119395114897,96.11279090909092,19.22030910076394,96.11279090909092,19.22030910076394,0.349352606739119,0.5376765293519997,107.948,112.4081,-0.013903916700504719,-0.05302998627275942,2023-01,1057.2407,0.32541133455210236,2732.5013000000004,0.03895591925243038
2023-01-12,AWS,CloudFront,eu-west-1,114.8393,USD,False,,,3,12,1,1,0,2,98.539,17.628598525123888,97.67333333333333,19.106546831641165,97.67333333333333,19.106546831641165,0.9246509287646727,0.8984337576552943,106.4471,123.3332,0.07883916048366887,-0.06886953391245132,2023-01,1172.08,0.41681901279707495,2741.7242,0.0418857958068715
2023-01-13,AWS,CloudFront,ap-southeast-1,124.5415,USD,False,,,4,13,1,1,0,2,101.13815714285714,20.134855708766757,99.74011538461538,19.752698519309803,99.74011538461538,19.752698519309803,1.1623298023333073,1.255594752781942,114.8393,106.3474,0.08448501514651796,0.17108175658106287,2023-01,1296.6215,0.5758683729433273,2829.5983,0.04401384465065447
2023-01-14,AWS,CloudFront,eu-west-1,73.3448,USD,False,,,5,14,1,1,1,2,100.94705714285715,20.431951115908078,97.85473571428572,20.246512840813892,97.85473571428572,20.246512840813892,-1.3509359426773202,-1.2105756633639566,124.5415,74.6825,-0.41108144674336594,-0.017911826732930555,2023-01,1369.9663,0.02010968921389397,1757.171,0.04174027456631043
2023-01-15,AWS,CloudFront,eu-west-1,76.7271,USD,False,,,6,15,1,1,1,2,101.68781428571428,19.247873851279316,98.7885642857143,18.797341534728837,96.44622666666667,20.25832314593072,-1.296803713349278,-0.973383953037311,73.3448,71.5418,0.04611506200785701,0.07247930580342567,2023-01,1446.6934,0.043875685557586835,1791.8030999999999,0.04282116712486834
2023-01-16,AWS,CloudFront,us-east-1,98.9745,USD,False,,,0,16,1,1,0,3,100.40318571428573,19.058100420418665,99.02418571428572,18.775984374967162,96.60424375,19.581603354950918,-0.0749647489883134,0.12104505473397213,76.7271,107.9669,0.2899549181411791,-0.0832884893417955,2023-01,1545.6679,0.26508226691042047,2667.004,0.037110742990997724
2023-01-17,AWS,CloudFront,us-west-2,102.7858,USD,False,,,1,17,1,1,0,3,99.66572857142857,18.81583055467872,100.13485714285714,18.482665966363616,96.96786470588235,19.01899008809817,0.1658216159705885,0.3059013789303424,98.9745,107.948,0.03850789849871917,-0.04782117315700316,2023-01,1648.4537,0.2979890310786106,2635.3098,0.039003308074049205
2023-01-18,AWS,CloudFront,us-east-1,112.6799,USD,False,,,2,18,1,1,0,3,100.55612857142857,19.330652908331402,100.15427142857142,18.496686957333264,97.84075555555556,18.81911560212498,0.6271785792977006,0.7885144423035666,102.7858,106.4471,0.0962594054811438,0.058553027747505045,2023-01,1761.1336000000001,0.3820840950639854,2782.6321,0.0404939984699952
2023-01-19,AWS,CloudFront,us-west-2,120.5388,USD,False,,,3,19,1,1,0,3,101.37034285714286,20.135799000027887,99.95467142857142,18.240624741090276,99.0353894736842,19.015768708886924,0.951959102386681,1.1308199449825795,112.6799,114.8393,0.06974535831084555,0.04963022240600883,2023-01,1881.6724,0.506398537477148,2768.4687,0.04353988181262677
2023-01-20,AWS,CloudFront,ap-southeast-1,116.378,USD,False,,,4,20,1,1,0,3,100.20412857142857,18.759483235039138,100.67114285714287,18.702194825442042,99.90252000000001,18.91047900182664,0.8621704140282261,0.87123546672389,120.5388,124.5415,-0.03451834595968664,-0.0655484316467559,2023-01,1998.0504,0.43327239488117003,2735.7252,0.042540091380507614
2023-01-21,AWS,CloudFront,ap-southeast-1,72.9623,USD,False,,,5,21,1,1,1,3,100.14948571428572,18.85109218404676,100.54827142857143,18.890771532577592,98.61965238095239,19.3464891172176,-1.4422074565977345,-1.3262019906646612,116.378,73.3448,-0.3730576225715079,-0.005215093639832575,2023-01,2071.0127,0.018281535648994516,1877.6394,0.038858526296349095
