date,provider,service,region,cost,currency,is_anomaly,anomaly_type,anomaly_severity
2023-01-01,AWS,EC2,us-east-1,666.6515,USD,False,,
2023-01-02,AWS,EC2,us-east-1,922.9821,USD,False,,
2023-01-03,AWS,EC2,eu-west-1,978.8298,USD,False,,
2023-01-04,AWS,EC2,us-west-2,1182.3583,USD,False,,
2023-01-05,AWS,EC2,us-west-2,1106.8611,USD,False,,
2023-01-06,AWS,EC2,us-west-2,1127.9006,USD,False,,
2023-01-07,AWS,EC2,us-east-1,798.2232,USD,False,,
2023-01-08,AWS,EC2,us-east-1,768.3004,USD,False,,
2023-01-09,AWS,EC2,ap-southeast-1,1032.3418,USD,False,,
2023-01-10,AWS,EC2,us-east-1,1107.7041,USD,False,,
2023-01-11,AWS,EC2,us-east-1,1074.2624,USD,False,,
2023-01-12,AWS,EC2,us-east-1,1094.9415,USD,False,,
2023-01-13,AWS,EC2,us-west-2,1156.1751,USD,False,,
2023-01-14,AWS,EC2,us-west-2,669.6756,USD,False,,
2023-01-15,AWS,EC2,us-east-1,676.7424,USD,False,,
2023-01-16,AWS,EC2,us-west-2,1028.4201,USD,False,,
2023-01-17,AWS,EC2,ap-southeast-1,1024.8142,USD,False,,
2023-01-18,AWS,EC2,us-west-2,1118.0937,USD,False,,
2023-01-19,AWS,EC2,ap-southeast-1,1071.1745,USD,False,,
2023-01-20,AWS,EC2,eu-west-1,1062.7036,USD,False,,
2023-01-21,AWS,EC2,us-east-1,795.544,USD,False,,
2023-01-22,AWS,EC2,us-west-2,10735.605684568562,USD,True,crypto_mining_attack,critical
2023-01-23,AWS,EC2,ap-southeast-1,1062.7587,USD,False,,
2023-01-24,AWS,EC2,eu-west-1,1003.5407,USD,False,,
2023-01-25,AWS,EC2,eu-west-1,1071.8592,USD,False,,
2023-01-26,AWS,EC2,us-west-2,1129.4228,USD,False,,
2023-01-27,AWS,EC2,us-west-2,1078.674,USD,False,,
2023-01-28,AWS,EC2,eu-west-1,869.2519,USD,False,,
2023-01-29,AWS,EC2,us-east-1,827.7131,USD,False,,
2023-01-30,AWS,EC2,us-east-1,1201.4423,USD,False,,
2023-01-31,AWS,EC2,ap-southeast-1,1206.359,USD,False,,
2023-02-01,AWS,EC2,us-east-1,1084.5432,USD,False,,
2023-02-02,AWS,EC2,eu-west-1,1011.1573,USD,False,,
2023-02-03,AWS,EC2,eu-west-1,976.5432,USD,False,,
2023-02-04,AWS,EC2,eu-west-1,790.7581,USD,False,,
2023-02-05,AWS,EC2,us-east-1,713.2555,USD,False,,
2023-02-06,AWS,EC2,ap-southeast-1,1096.6603,USD,False,,
2023-02-07,AWS,EC2,us-east-1,998.6977,USD,False,,
2023-02-08,AWS,EC2,ap-southeast-1,1054.0676,USD,False,,
2023-02-09,AWS,EC2,us-east-1,1162.2446,USD,False,,
2023-02-10,AWS,EC2,eu-west-1,1216.0946,USD,False,,
2023-02-11,AWS,EC2,eu-west-1,766.7601,USD,False,,
2023-02-12,AWS,EC2,us-west-2,755.9529,USD,False,,
2023-02-13,AWS,EC2,us-east-1,1070.0063,USD,False,,
2023-02-14,AWS,EC2,us-east-1,1026.3119,USD,False,,
2023-02-15,AWS,EC2,us-west-2,1089.4482,USD,False,,
2023-02-16,AWS,EC2,eu-west-1,1125.4807,USD,False,,
2023-02-17,AWS,EC2,us-east-1,1235.958,USD,False,,
2023-02-18,AWS,EC2,us-west-2,774.0451,USD,False,,
2023-02-19,AWS,EC2,us-east-1,693.9843,USD,False,,
2023-02-20,AWS,EC2,ap-southeast-1,1105.0177,USD,False,,
2023-02-21,AWS,EC2,eu-west-1,1087.9376,USD,False,,
2023-02-22,AWS,EC2,ap-southeast-1,1092.9141,USD,False,,
2023-02-23,AWS,EC2,eu-west-1,1188.3781,USD,False,,
2023-02-24,AWS,EC2,us-west-2,1235.6008,USD,False,,
2023-02-25,AWS,EC2,eu-west-1,797.1635,USD,False,,
2023-02-26,AWS,EC2,eu-west-1,729.8337,USD,False,,
2023-02-27,AWS,EC2,us-west-2,1071.605,USD,False,,
2023-02-28,AWS,EC2,eu-west-1,1298.0549,USD,False,,
2023-03-01,AWS,EC2,us-east-1,1103.0624,USD,False,,
2023-03-02,AWS,EC2,us-west-2,1046.4453,USD,False,,
2023-03-03,AWS,EC2,us-west-2,1082.3678,USD,False,,
2023-03-04,AWS,EC2,us-west-2,760.2599,USD,False,,
2023-03-05,AWS,EC2,ap-southeast-1,756.7463,USD,False,,
2023-03-06,AWS,EC2,ap-southeast-1,1196.7145,USD,False,,
2023-03-07,AWS,EC2,eu-west-1,1252.7076,USD,False,,
2023-03-08,AWS,EC2,us-west-2,1192.0118,USD,False,,
2023-03-09,AWS,EC2,eu-west-1,1280.6808,USD,False,,
2023-03-10,AWS,EC2,us-east-1,1265.1384,USD,False,,
2023-03-11,AWS,EC2,us-west-2,779.5592,USD,False,,
2023-03-12,AWS,EC2,us-east-1,820.21,USD,False,,
2023-03-13,AWS,EC2,eu-west-1,1239.6084,USD,False,,
2023-03-14,AWS,EC2,ap-southeast-1,1172.1652,USD,False,,
2023-03-15,AWS,EC2,eu-west-1,1291.1356,USD,False,,
2023-03-16,AWS,EC2,us-east-1,1060.76,USD,False,,
